"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$3.0680 hourly","$2.1400 hourly","$0.9204 hourly","$4.5400 hourly","$3.6120 hourly"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.0720 hourly","$1.9489 hourly","$1.0340 hourly","unavailable","unavailable"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.0720 hourly","$1.9489 hourly","$1.0590 hourly","unavailable","unavailable"
"R6GD 12xlarge","r6gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","20 Gigabit","$3.1200 hourly","$1.9656 hourly","$0.8530 hourly","unavailable","unavailable"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","24576 GB (12 * 2048 GB HDD)","High","$3.1250 hourly","$1.9660 hourly","$0.9375 hourly","$3.8610 hourly","$2.7020 hourly"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","12 Gigabit","$3.1920 hourly","$2.0110 hourly","$0.9390 hourly","$5.4000 hourly","$4.2190 hourly"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.2256 hourly","$2.1274 hourly","$1.0857 hourly","$6.1696 hourly","$5.0714 hourly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","64 vCPUs","EBS only","12 Gigabit","$3.2320 hourly","$2.0360 hourly","$1.0340 hourly","$6.1760 hourly","$4.9800 hourly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","48 vCPUs","EBS only","12 Gigabit","$3.3600 hourly","$2.1170 hourly","$0.8124 hourly","$5.5680 hourly","$4.3250 hourly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$3.3600 hourly","$2.2226 hourly","$0.8530 hourly","$5.5680 hourly","$4.4306 hourly"
"C6I 16xlarge","c6i.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.3920 hourly","$2.2403 hourly","$1.0340 hourly","$6.3360 hourly","$5.1843 hourly"
"M6GD 16xlarge","m6gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.3920 hourly","$2.1505 hourly","$2.9140 hourly","unavailable","unavailable"
"M6GD Metal","m6gd.metal","256.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.3920 hourly","$2.1505 hourly","$1.1043 hourly","unavailable","unavailable"
"C6GN 16xlarge","c6gn.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","$3.4560 hourly","$2.1840 hourly","$3.3784 hourly","unavailable","unavailable"
"R5AD 12xlarge","r5ad.12xlarge","384.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","10 Gigabit","$3.5520 hourly","$2.2380 hourly","$0.8124 hourly","$5.7600 hourly","$4.4460 hourly"
"M6I 16xlarge","m6i.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.5840 hourly","$2.3638 hourly","$1.0857 hourly","$6.5280 hourly","$5.3078 hourly"
"M5 General Purpose 16xlarge","m5.16xlarge","256.0 GiB","64 vCPUs","EBS only","20 Gigabit","$3.5840 hourly","$2.2580 hourly","$1.0340 hourly","$6.5280 hourly","$5.2020 hourly"
"R6G Metal","r6g.metal","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.5840 hourly","$2.2579 hourly","$1.1374 hourly","unavailable","unavailable"
"R6G 16xlarge","r6g.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.5840 hourly","$2.2579 hourly","$1.1959 hourly","unavailable","unavailable"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.7440 hourly","$2.7216 hourly","$0.9847 hourly","$6.6880 hourly","$5.6656 hourly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","16 vCPUs","3200 GB (4 * 800 GB SSD)","High","$3.7510 hourly","$2.0600 hourly","$3.7510 hourly","$4.2320 hourly","$2.8270 hourly"
"C5 High-CPU 18xlarge","c5.18xlarge","144.0 GiB","72 vCPUs","EBS only","25 Gigabit","$3.8160 hourly","$2.4040 hourly","$1.1085 hourly","$7.1280 hourly","$5.7160 hourly"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","12 Gigabit","$3.8880 hourly","$2.4490 hourly","$1.1214 hourly","$6.0960 hourly","$4.6570 hourly"
"M5AD 16xlarge","m5ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB (4 * 600 GB NVMe SSD)","12 Gigabit","$3.9040 hourly","$2.4600 hourly","$1.0340 hourly","$6.8480 hourly","$5.4040 hourly"
"R5A 16xlarge","r5a.16xlarge","512.0 GiB","64 vCPUs","EBS only","12 Gigabit","$4.0320 hourly","$2.5400 hourly","$1.4049 hourly","$6.9760 hourly","$5.4840 hourly"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","48 vCPUs","EBS only","50 Gigabit","$4.0560 hourly","$2.5600 hourly","$0.8857 hourly","$6.2640 hourly","$4.7680 hourly"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","$4.1600 hourly","$2.6208 hourly","$1.1374 hourly","unavailable","unavailable"
"R6GD Metal","r6gd.metal","512.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","$4.1600 hourly","$2.6208 hourly","$1.1374 hourly","unavailable","unavailable"
"M5 General Purpose 16xlarge","m5d.16xlarge","256.0 GiB","64 vCPUs","2400 GB (4 * 600 GB NVMe SSD)","20 Gigabit","$4.2560 hourly","$2.6810 hourly","$1.0431 hourly","$7.2000 hourly","$5.6250 hourly"
"C5 High-CPU 18xlarge","c5d.18xlarge","144.0 GiB","72 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","25 Gigabit","$4.3200 hourly","$2.7220 hourly","$1.1234 hourly","$7.6320 hourly","$6.0340 hourly"
"X2IEDN Quadruple Extra Large","x2iedn.4xlarge","512.0 GiB","16 vCPUs","475 GB NVMe SSD","Up to 25 Gigabit","$4.3350 hourly","$2.6673 hourly","$1.3005 hourly","$5.0710 hourly","$3.4033 hourly"
"R6I 16xlarge","r6i.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.4800 hourly","$2.9635 hourly","$1.1701 hourly","$7.4240 hourly","$5.9075 hourly"
"R5 16xlarge","r5.16xlarge","512.0 GiB","64 vCPUs","EBS only","20 Gigabit","$4.4800 hourly","$2.8220 hourly","$1.3211 hourly","$7.4240 hourly","$5.7660 hourly"
"C5A 24xlarge","c5a.24xlarge","192.0 GiB","96 vCPUs","EBS only","20 Gigabit","$4.5600 hourly","$2.8730 hourly","$1.4771 hourly","$8.9760 hourly","$7.2890 hourly"
"C6A 24xlarge","c6a.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.5792 hourly","$3.0242 hourly","$1.5509 hourly","$8.9952 hourly","$7.4402 hourly"
"M5ZN Metal","m5zn.metal","192.0 GiB","48 vCPUs","EBS only","100 Gigabit","$4.6248 hourly","$2.8988 hourly","$0.7755 hourly","$6.8328 hourly","$5.1068 hourly"
"M5ZN 12xlarge","m5zn.12xlarge","192.0 GiB","48 vCPUs","EBS only","100 Gigabit","$4.6248 hourly","$2.8988 hourly","$0.9375 hourly","$6.8328 hourly","$5.1068 hourly"
"G4DN 12xlarge","g4dn.12xlarge","192.0 GiB","48 vCPUs","900 GB NVMe SSD","50 Gigabit","$4.6940 hourly","$3.3030 hourly","$1.4082 hourly","$6.9020 hourly","$5.5110 hourly"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","64 vCPUs","2400 GB (4 * 600 GB NVMe SSD)","12 Gigabit","$4.7360 hourly","$2.9840 hourly","$1.1030 hourly","$7.6800 hourly","$5.9280 hourly"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.7424 hourly","$2.9904 hourly","$1.2280 hourly","$7.6864 hourly","$5.9344 hourly"
"M6A 24xlarge","m6a.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.8384 hourly","$3.1911 hourly","$1.6285 hourly","$9.2544 hourly","$7.6071 hourly"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","96 vCPUs","EBS only","20 Gigabit","$4.8480 hourly","$3.0540 hourly","$1.5509 hourly","$9.2640 hourly","$7.4700 hourly"
"C5N 18xlarge","c5n.18xlarge","192.0 GiB","72 vCPUs","EBS only","100 Gigabit","$4.8600 hourly","$3.0620 hourly","$1.1078 hourly","$8.1720 hourly","$6.3740 hourly"
"C5N Metal","c5n.metal","192.0 GiB","72 vCPUs","EBS only","100 Gigabit","$4.8600 hourly","$3.0620 hourly","$1.1078 hourly","$8.1720 hourly","$6.3740 hourly"
"Z1D Metal","z1d.metal","384.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","25 Gigabit","$5.0640 hourly","$3.1900 hourly","$1.5192 hourly","$7.2720 hourly","$5.3980 hourly"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","25 Gigabit","$5.0640 hourly","$3.1900 hourly","$1.5192 hourly","$7.2720 hourly","$5.3980 hourly"
"C5 High-CPU Metal","c5.metal","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","$5.0880 hourly","$3.2050 hourly","$1.4771 hourly","$9.5040 hourly","$7.6210 hourly"
"C5 High-CPU 24xlarge","c5.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","$5.0880 hourly","$3.2050 hourly","$1.4771 hourly","$9.5040 hourly","$7.6210 hourly"
"C6I 24xlarge","c6i.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$5.0880 hourly","$3.3604 hourly","$1.5509 hourly","$9.5040 hourly","$7.7764 hourly"
"R5D 16xlarge","r5d.16xlarge","512.0 GiB","64 vCPUs","2400 GB (4 * 600 GB NVMe SSD)","20 Gigabit","$5.1840 hourly","$3.2660 hourly","$1.5692 hourly","$8.1280 hourly","$6.2100 hourly"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","64 vCPUs","900 GB NVMe SSD","50 Gigabit","$5.2220 hourly","$3.6740 hourly","$1.5666 hourly","$8.1660 hourly","$6.6180 hourly"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","$5.3760 hourly","$3.3870 hourly","$1.5552 hourly","$9.7920 hourly","$7.8030 hourly"
"M6I 24xlarge","m6i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$5.3760 hourly","$3.5456 hourly","$1.9040 hourly","$9.7920 hourly","$7.9616 hourly"
"M5 General Purpose Metal","m5.metal","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","$5.3760 hourly","$3.3870 hourly","$1.5509 hourly","$9.7920 hourly","$7.8030 hourly"
"R5N 16xlarge","r5n.16xlarge","512.0 GiB","64 vCPUs","EBS only","75 Gigabit","$5.4080 hourly","$3.4130 hourly","$1.4686 hourly","$8.3520 hourly","$6.3570 hourly"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","64 vCPUs","15200 GB (8 * 1900 GB NVMe SSD)","25 Gigabit","$5.5040 hourly","$3.7630 hourly","$1.6512 hourly","$8.4480 hourly","$6.7070 hourly"
"I3 High I/O Metal","i3.metal","512.0 GiB","72 vCPUs","15200 GB (8 * 1900 GB NVMe SSD)","25 Gigabit","$5.5040 hourly","$3.7630 hourly","$1.6512 hourly","$8.4480 hourly","$6.7070 hourly"
"INF1 24xlarge","inf1.24xlarge","192.0 GiB","96 vCPUs","EBS only","100 Gigabit","$5.6710 hourly","$3.5730 hourly","$1.7013 hourly","unavailable","unavailable"
"C5 High-CPU 24xlarge","c5d.24xlarge","192.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","25 Gigabit","$5.7600 hourly","$3.6290 hourly","$1.4771 hourly","$10.1760 hourly","$8.0450 hourly"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","25 Gigabit","$5.7600 hourly","$3.6290 hourly","$1.4771 hourly","$10.1760 hourly","$8.0450 hourly"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","20 Gigabit","$5.8560 hourly","$3.6890 hourly","$1.5509 hourly","$10.2720 hourly","$8.1050 hourly"
"I3EN 12xlarge","i3en.12xlarge","384.0 GiB","48 vCPUs","30000 GB (4 * 7500 GB NVMe SSD)","50 Gigabit","$6.0000 hourly","$4.0980 hourly","$1.8000 hourly","$8.2080 hourly","$6.3060 hourly"
"R5A 24xlarge","r5a.24xlarge","768.0 GiB","96 vCPUs","EBS only","20 Gigabit","$6.0480 hourly","$3.8100 hourly","$1.6248 hourly","$10.4640 hourly","$8.2260 hourly"
"I4I 16xlarge","i4i.16xlarge","512.0 GiB","64 vCPUs","15000 GB (4 * 3750 GB NVMe SSD)","37.5 Gigabit","$6.0540 hourly","$3.9480 hourly","$2.7058 hourly","$8.9980 hourly","$6.8920 hourly"
"C6A 32xlarge","c6a.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.1056 hourly","$4.0322 hourly","$2.0679 hourly","$11.9936 hourly","$9.9202 hourly"
"G3 Graphics GPU 16xlarge","g3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","$6.1360 hourly","$4.2800 hourly","$1.8408 hourly","$9.0800 hourly","$7.2240 hourly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","36 vCPUs","49152 GB (24 * 2048 GB HDD)","10 Gigabit","$6.2500 hourly","$3.9310 hourly","$1.8768 hourly","$7.9060 hourly","$5.5870 hourly"
"M5 General Purpose 24xlarge","m5d.24xlarge","384.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","25 Gigabit","$6.3840 hourly","$4.0220 hourly","$1.5509 hourly","$10.8000 hourly","$8.4380 hourly"
"M5 General Purpose Metal","m5d.metal","384.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","25 Gigabit","$6.3840 hourly","$4.0220 hourly","$1.5509 hourly","$10.8000 hourly","$8.4380 hourly"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.4512 hourly","$4.2548 hourly","$2.1713 hourly","$12.3392 hourly","$10.1428 hourly"
"R5 Metal","r5.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$6.7200 hourly","$4.2340 hourly","$1.6248 hourly","$11.1360 hourly","$8.6500 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$6.7200 hourly","$4.2340 hourly","$1.6443 hourly","$11.1360 hourly","$8.6500 hourly"
"R6I 24xlarge","r6i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$6.7200 hourly","$4.4453 hourly","$1.7060 hourly","$11.1360 hourly","$8.8613 hourly"
"C6I 32xlarge","c6i.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.7840 hourly","$4.4806 hourly","$2.0679 hourly","$12.6720 hourly","$10.3686 hourly"
"C6I Metal","c6i.metal","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.7840 hourly","$4.4806 hourly","$2.0679 hourly","$12.6720 hourly","$10.3686 hourly"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","20 Gigabit","$7.1040 hourly","$4.4760 hourly","$1.6248 hourly","$11.5200 hourly","$8.8920 hourly"
"M6I 32xlarge","m6i.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$7.1680 hourly","$4.7275 hourly","$2.4176 hourly","$13.0560 hourly","$10.6155 hourly"
"M6I Metal","m6i.metal","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$7.1680 hourly","$4.7275 hourly","$2.1713 hourly","$13.0560 hourly","$10.6155 hourly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","32 vCPUs","6400 GB (8 * 800 GB SSD)","10 Gigabit","$7.5020 hourly","$4.1200 hourly","$7.5020 hourly","$8.4640 hourly","$5.6540 hourly"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","25 Gigabit","$7.7760 hourly","$4.8990 hourly","$1.6248 hourly","$12.1920 hourly","$9.3150 hourly"
